source,target,relation,evidence,strength,issue,repair
Q0,Q1,defines admissible policy for,quick-start suitability table,strong,,
Q1,CG,selects spatial closure,Two spatial settings,strong,,
Q1,CU,selects spatial closure,Two spatial settings,strong,,
CG,R,supplies economic margins and route curvature,Inputs supplied to transport block,strong,,
CU,R,supplies commuter margins and route curvature,Inputs supplied to transport block,strong,,
R,M,passes aggregate edge costs to modal edge structure,Recovering baseline route object,strong,,
M,C,determines edge-mode traffic entering congestion,Choice-consistent modal aggregation,strong,,
CG,H,defines efficient trade welfare benchmark,Proposition 1,strong,,
CU,H,defines separate urban limiting-case test,Efficient social savings discussion,medium,full urban proof is outside guide,keep as tested benchmark
CG,IFT,supplies J0 Bkappa and q,Inputs supplied to transport block,strong,,
CU,IFT,supplies J0 Bkappa and q,Inputs supplied to transport block,strong,,
C,IFT,supplies C Gamma and primitive pass-through,Spatial and transport blocks,strong,,
H,IFT,motivates correction when wedges matter,Hulten closing paragraph,strong,,
IFT,ADJ,turns per-policy inverse into one welfare solve,Adjoint solve,strong,,
ADJ,P2,is factored for economic geography,Economic-geography factorization,strong,,
ADJ,UD,is projected through urban welfare row,Urban welfare projection,strong,,
P2,DEC,supplies normalized multiplier and Hulten gap,Exact closure decompositions,strong,,
UD,DEC,supplies urban level closure gaps,Exact closure decompositions,strong,,
DATA,R,provides route-consistent margins and flows,Accounting checks,strong,,
DATA,M,provides baseline modal shares and eta,Flow concepts and parameters,strong,,
DATA,C,provides matched congestion units and elasticities,Flow concepts and parameters,strong,,
DATA,ALG,defines validated input contract,Package architecture,strong,,
IFT,ALG,defines state and policy solves,Policy derivatives,strong,,
DEC,ALG,defines closure and channel outputs,Full decomposition algorithm,strong,,
ALG,VER,exposes diagnostics and manifests,Outputs and manifests,strong,,
VER,GRID,sets acceptance gates for worked example,Baseline checks,strong,,
GRID,FREIGHT,provides interpretation template for external application,Worked example to applications handoff,strong,,
CU,SEATTLE,defines urban empirical closure,Urban implementation,strong,,
VER,SEATTLE,separates implementation from empirical validation,Seattle warning and remaining work,strong,,
P2,SCOPE,supports economic-geography interpretation,Conclusion paragraph 2,strong,,
UD,SCOPE,supports urban interpretation,Conclusion paragraph 3,strong,,
VER,SCOPE,limits evidentiary claims,Conclusion paragraph 4,strong,,
APPA,APPB,fixes notation before algorithm,appendix introductions,strong,,
APPB,APPD,supplies operations tested by verification matrix,algorithm and verification appendices,strong,,
APPC,DATA,details the data contract,main-text appendix pointer,strong,,
APPF,GRID,supplies additional regression evidence,additional examples introduction,medium,not part of main argument,retain in reference appendix
APPE,ALG,qualifies reproducibility claims,provenance appendix,strong,,
