id,severity,location,broken_edge,reason,repair,status
G01,major,main.tex title-page scope,output list -> decomposition scope,exact mechanism decomposition appeared to cover both closures although subchannel decomposition is freight-only,renamed the general output as exact closure comparisons,resolved
G02,major,sections/01-question.tex four-factor box,general output -> economic-geography theorem,the box could be read as the urban formula,labeled the box as the economic-geography Extended benefit,resolved
G03,moderate,sections/01-question.tex appraisal heading,elasticity -> appraisal,false-range heading described no actual continuum,renamed the subsection to Using the elasticity in project appraisal,resolved
G04,major,sections/05-ift.tex spatial and transport blocks,transport equations -> primitive forcing,the derivation set dtheta to zero before showing how the primitive shock enters,derived dh with both dtheta and dz then separated forcing from feedback,resolved
G05,moderate,sections/05-ift.tex factorization,adjoint -> Proposition 2,the factorization arrived before its explanatory purpose,stated that it explains why equal-traffic links can differ,resolved
G06,moderate,sections/05-ift.tex urban projection,Proposition 2 -> urban derivative,the boundary was correct but weakly motivated,explained that the scalar trade factorization relies on the trade equilibrium,resolved
G07,major,sections/09-worked-example.tex economic setting,baseline modal share -> generalized cost,the text inferred relative costs from shares despite calibrated mode shifters,described the observed share and assigned eta only the local substitution role,resolved
G08,minor,sections/09-worked-example.tex inputs,counts -> edge-mode schema,eight transit pairs was ambiguous because the count refers to rows,renamed them directed transit edge-mode rows,resolved
G09,moderate,sections/09-worked-example.tex welfare-map caption,elasticity -> one-percent gain,the caption called an elasticity a one-percent effect,stated the elasticity and its 0.01 conversion separately,resolved
G10,moderate,sections/09-worked-example.tex decomposition,identity -> economics,the cancellation paragraph mixed numerical validation with mechanism interpretation,reordered residual check then spatial congestion and pass-through mechanisms,resolved
G11,moderate,sections/11-rsue.tex signed decomposition,components -> cancellation,larger than their net contribution was mathematically vague,compared absolute component magnitudes with their sum,resolved
G12,moderate,sections/12-extensions.tex remaining work,implemented derivative -> empirical claim,two closing paragraphs repeated the same qualification,merged implementation status and empirical boundary,resolved
G13,minor,sections/08-code.tex build stages,architecture -> diagnostics,the handoff relied on generic easiest to evaluate language,named the public grid and the checks it exposes,resolved
G14,minor,sections/13-conclusion.tex final sentence,qualification -> contribution,the closing claim used generic transparently language,stated the measured spatial-equilibrium correction directly,resolved
G15,minor,appendices/E-provenance.tex reproducibility statement,public build -> external data,three short paragraphs repeated one boundary,combined them into one causal paragraph,resolved
R01,major,sections/02-equilibrium.tex urban closure,urban assumptions -> J_U derivation,the guide states rather than derives the full residence-workplace residual system,retain the exact welfare row and direct readers to the independent oracle and paper; add a public derivation note before claiming proof self-containment,open
R02,moderate,appendices/B-algorithm.tex analytical channels,closure gap -> subchannel proof,the guide summarizes the rank-two and structured updates rather than reproducing their full derivation,appropriate for a practitioner reference; link a separate technical note for proof-level self-containment,open
R03,major,sections/10-diagnostics.tex first-order accuracy,local derivative -> finite project,no global nonlinear economic-geography solver supports the requested five-percent grid comparison,retain the explicit limitation and do not add a chart,open
R04,major,sections/12-extensions.tex Seattle,verified operator -> empirical appraisal,route ridership and Seattle-specific cost and elasticity evidence remain incomplete,keep candidate label and fail closed for empirical claims,open
R05,minor,rendered PDF,source hierarchy -> accessibility,the PDF has bookmarks and language metadata but is not semantically tagged,migrate to a tagged-PDF toolchain in a separate release task,open
