id,kind,title,source_label,inherits,advance,yield,status
Q0,section,Quick-start suitability,ch:quickstart,policy candidate,tests whether a local active-edge derivative is appropriate,a declared closure policy unit and data task,final
Q1,section,Policy question and output,ch:question,Q0,defines primitive cost welfare elasticity and appraisal boundary,a welfare object with scope and sign convention,final
CG,subsection,Economic-geography closure,ch:equilibrium,Q1,defines trade market access transformed state and welfare closure,J_G0 B_kappa_G and q_G,final
CU,subsection,Urban commuting closure,ch:equilibrium,Q1,defines residence workplace state exposure and welfare row,J_U0 B_kappa_U and q_U,final
R,subsection,Recursive routing,ch:routing,CG and CU,derives the route recursion resolvent and baseline reconstruction,flexible and fixed route operators,final
M,subsection,Modal aggregation,ch:routing,R,defines the negative-power logsum shares and substitution response,edge-mode aggregation and modal derivatives,final
C,subsection,Congestion maps,ch:routing,M,links edge-mode traffic to realized costs,transport feedback map Gamma,final
H,subsection,Efficient benchmark,ch:hulten,CG CU R M,shows when traffic is the exact welfare derivative,a benchmark and limiting-case test,final
IFT,subsection,Implicit derivative,ch:ift,CG CU C H,derives the state response Schur complement and primitive forcing,closure-specific derivative systems,final
ADJ,subsubsection,Adjoint solve,ch:ift,IFT,reuses one welfare projection across many policies,all-policy welfare elasticities,final
P2,subsubsection,Economic-geography factorization,ch:ift,ADJ and CG,factors the derivative into traffic pass-through scale and access,interpretable Proposition 2 objects,final
UD,subsubsection,Urban welfare projection,ch:ift,ADJ and CU,applies the common transport derivative to urban welfare,urban policy elasticities without trade normalization,final
DEC,subsection,Closure decomposition,ch:decomposition,P2 and UD,compares H NC NT F FM and FR at one baseline,signed mechanism gaps and exact identities,final
DATA,subsection,Data contract,ch:data,CG CU R M C,defines model-ready schemas units balancing parameters and policies,validated baseline inputs,final
ALG,subsection,Algorithm and package architecture,ch:code,DATA IFT DEC,maps the derivation into the API CLI and output schema,reproducible result artifacts,final
VER,subsection,Diagnostics,ch:diagnostics,ALG,distinguishes accounting mathematical and empirical claims,acceptance or explicit failure,final
GRID,section,Worked grid,ch:worked,VER,instantiates the full chain on public synthetic data,interpreted welfare and decomposition results,final
FREIGHT,subsection,U.S. freight application,ch:rsue,GRID,states the external-data adapter calibration results and provenance,paper-facing empirical example,final
SEATTLE,subsection,Seattle urban candidate,ch:extensions,CU ALG VER,states implemented urban transport analysis and missing empirical inputs,explicit candidate boundary,final
SCOPE,section,Interpretation and conclusion,ch:conclusion,P2 UD VER FREIGHT SEATTLE,states what the statistic establishes and excludes,appraisal-ready interpretation with qualifications,final
APPA,appendix,Notation and code crosswalk,app:crosswalk,CG CU R M C IFT,fixes notation orientation signs and aliases,theory-code lookup,final
APPB,appendix,Algorithm and pseudocode,app:algorithm,ALG,records validation closure forcing and decomposition operations,implementation-level substitution chain,final
APPC,appendix,Configuration and schemas,app:config,DATA,records all input and configuration fields,reference contract,final
APPD,appendix,Verification matrix,app:verification,VER,records numerical gates and limiting cases,release acceptance matrix,final
APPF,appendix,Additional examples,app:additional-examples,GRID,compares mechanism fixtures without adding a second worked example,regression-example evidence,final
APPE,appendix,Provenance,app:provenance,ALG VER,states authority public and restricted boundaries,reproducibility claim,final
