id,parent_id,level,order,file,start_line,end_line,title,text,surface_role,semantic_role,inherits,advance,yield_text,flags
DOC,,document,1,,0,0,Document,,document,,,,,
P0001,DOC,paragraph,1,docs/practitioner-guide/main.tex,9,23,,"\hypersetup{pageanchor=false} \begin{titlepage} \thispagestyle{empty} \vspace*{0.55in} \noindent{\color{guideblue}\rule{\textwidth}{1.2pt}\par} \vspace{1.15em} {\Huge\bfseries Transport Network Welfare\par} \vspace{0.55em} {\Large Theory, Computation, and Practice with\par} \vspace{0.12em} {\Large\ttfamily TransportNetworkWelfare.jl\par} \vspace{1.75em} {\large Treb Allen \quad Simon Fuchs \quad Woan Foong Wong\par} \vspace{0.4em} {\color{black!60}Practitioner guide for package API v0.1.0, July 2026\par}",exposition,,,,,
S0001,P0001,sentence,1,docs/practitioner-guide/main.tex,9,23,,"\hypersetup{pageanchor=false} \begin{titlepage} \thispagestyle{empty} \vspace*{0.55in} \noindent{\color{guideblue}\rule{\textwidth}{1.2pt}\par} \vspace{1.15em} {\Huge\bfseries Transport Network Welfare\par} \vspace{0.55em} {\Large Theory, Computation, and Practice with\par} \vspace{0.12em} {\Large\ttfamily TransportNetworkWelfare.jl\par} \vspace{1.75em} {\large Treb Allen \quad Simon Fuchs \quad Woan Foong Wong\par} \vspace{0.4em} {\color{black!60}Practitioner guide for package API v0.1.0, July 2026\par}",exposition,,,,,
P0002,DOC,paragraph,2,docs/practitioner-guide/main.tex,25,36,,"\vfill \begin{minipage}{0.93\textwidth} {\large\bfseries\color{guideblue}Purpose and scope\par} \vspace{0.65em} This guide evaluates which existing transport link would generate the largest model-implied economic benefit from a small improvement. Starting from model-consistent directed flows, location shares, and calibrated elasticities, the package reports a traffic benchmark, full realized- and primitive-cost welfare effects, an exact mechanism decomposition, and numerical diagnostics. At an efficient interior baseline, the traffic benchmark is exact even though routes, modes, prices, and locations adjust. Congestion and spatial externalities create the correction measured by the extended statistic.",exposition,,,,,
S0002,P0002,sentence,1,docs/practitioner-guide/main.tex,25,36,,\vfill \begin{minipage}{0.93\textwidth} {\large\bfseries\color{guideblue}Purpose and scope\par} \vspace{0.65em} This guide evaluates which existing transport link would generate the largest model-implied economic benefit from a small improvement.,exposition,,,,,
S0003,P0002,sentence,2,docs/practitioner-guide/main.tex,25,36,,"Starting from model-consistent directed flows, location shares, and calibrated elasticities, the package reports a traffic benchmark, full realized- and primitive-cost welfare effects, an exact mechanism decomposition, and numerical diagnostics.",exposition,,,,,
S0004,P0002,sentence,3,docs/practitioner-guide/main.tex,25,36,,"At an efficient interior baseline, the traffic benchmark is exact even though routes, modes, prices, and locations adjust.",exposition,,,,,
S0005,P0002,sentence,4,docs/practitioner-guide/main.tex,25,36,,Congestion and spatial externalities create the correction measured by the extended statistic.,exposition,,,,,
P0003,DOC,paragraph,3,docs/practitioner-guide/main.tex,51,54,,\hypersetup{pageanchor=true} \pagenumbering{roman} \pagestyle{plain} \tableofcontents,exposition,,,,,
S0006,P0003,sentence,1,docs/practitioner-guide/main.tex,51,54,,\hypersetup{pageanchor=true} \pagenumbering{roman} \pagestyle{plain} \tableofcontents,exposition,,,,,
